type,min_eigen,max_eigen,grad_norm,loss,parameters
Degenerate/Max/min Critical Point,0.0,0.0,0.0,0.19125,"[-6.99318207827662, 11.624582865923061, 0.46900565690211027, 6.969855223430569, 3.202774109710961, 1.7549496796099247, 6.268336570281299, 1.8648795396695048, -11.901990280955118, 10.873568257159645, 8.181272862481837, -21.0685039135781, -6.5420028487567725, 10.42360462492807, -18.26928546477834, 9.435668819007445, -1.4122253565425065, 13.402825703339909, -0.011467890754636246, -7.220679929956276, 3.0808566075914054, -0.3038548950998623, -8.108511341406807, 22.183434830113864, -9.710981815843148, -22.42955375059794, 15.816989681214926, -5.835634723159265, -2.967732609656956, -3.579060646290342, -5.69651434158326, -7.661924712634459, -9.968173024969644, 0.6475976170456565, -4.019875576756351, 7.303621903339465, 4.826940516161541]"
Degenerate/Max/min Critical Point,0.0,0.0,0.0,0.19125,"[-8.10975633925723, 9.530015927659814, -9.242924588558655, 2.2435555774312936, -5.79073100919403, -0.6549708083972603, -16.033459096587436, 10.013162452099563, -9.61497998371401, -10.662167210437026, 23.79009013402093, 5.543073109576079, 9.62416408283075, 4.588913963618989, -4.524805599864017, -13.068498574550105, -2.9882038742565875, -9.781593445255623, -9.18115172434519, -15.831873289696967, 1.144759597954961, 15.73412147525846, 5.5813672302644886, -1.057903878517124, -0.40571872810151666, -30.477773123935968, -4.238354218993765, -14.266758952203391, 1.3441252790227645, -2.5997598866823424, -8.693045412075403, 1.1189670448859903, 1.0327915300694297, 15.186240394564274, 6.864175004467297, 2.169727900368727, -9.475144736513922]"
Saddle Point,-1.3333602398021615e-08,0.6236748716890468,0.00097392534,0.6393761510363677,"[-13.161459727648001, -5.523470428613802, -10.965363423586709, 22.91132117082639, 18.683448029640005, -11.625605203583099, 15.836935704774298, -4.018304856246184, 1.262210405682868, -0.6385551627869619, -6.597486412539658, 9.861039401792612, 1.2540557264957513, -4.7658426238147795, -13.045894438004726, -8.932298647396694, -16.416839528498187, 0.12139405688193747, -11.966655922843959, -2.653298972066661, 13.689445490438208, 11.990294364711783, -0.3227689410261781, -0.8620634110314491, 18.791091903101616, 5.202479131474021, -3.278064598765229, -14.272192232546102, 3.9539092931125963, 8.281251991386462, -6.294428710144309, 2.8724013774178645, -3.638138030283538, -1.8407498110333296, -24.878220575623313, -2.215988477004197, 9.693565060072883]"
Saddle Point,-4.220140857660677e-06,212.64776186411896,0.0009548065,0.4881257277651342,"[-1.7237495745366196, 7.135148134047209, 12.834560018472029, 5.657195113063546, 1.0172320847176979, 14.97624208887149, -3.1109495972203325, 10.294329544935453, -2.8806279835127864, 4.310229580108931, -1.1356256479045148, -0.5585218265281087, -3.757715720929721, 13.4474304498792, -7.3292603810853505, -7.402322525487084, 21.22697001849682, 9.77739470489206, -23.851136986930364, -5.652587392104036, -18.104020470789784, -9.507891524907292, -31.385146662340397, -1.3698957769394238, -11.420473185872677, 0.5804599636871104, -16.251212588825247, 0.8291185317203993, -4.149162781203273, 15.023988355364363, 14.091521613656337, 7.872100621765849, -3.2671932634669902, 19.85384709352506, -15.530352778398207, -14.035586295636627, -0.8377386269336218]"
Degenerate/Max/min Critical Point,0.0,0.0,0.0,0.80875,"[18.804128554097915, 1.6475121650234805, -8.40381674670027, -5.985187068185366, 8.777013670747772, -8.335001568554993, -11.031163910529155, -4.3887448241847675, -2.8951322440961254, -6.73315525638562, -4.539448939380305, 9.169312340613926, 2.565024364794488, -5.156407531485049, -4.278480822802852, -1.3165617626135286, -0.7441420792352121, -0.7018625621741399, 8.802476630499847, 1.970384042920652, 2.2645767659921487, 14.267853537000889, 18.76651431892068, -12.309712861979989, -15.789081123956183, -3.4940611462238644, 7.831285728946479, 3.7598639998743044, 10.540997027118816, -3.9236384569211404, -19.567068321780017, -13.667817312780253, 5.6473405865860125, 10.617536055582189, -19.067968481021097, 14.10657533308041, 4.646325117996052]"
Degenerate/Max/min Critical Point,0.0,0.0,0.0,0.80875,"[8.02367432895881, 16.30125746009827, -3.5459063250298133, -5.455526027368869, 4.471634130857202, 11.825169176703131, 0.5806383002443511, 12.477122918598191, 6.900583398086662, -2.0121547789209075, 5.633355030589059, -4.348267912677366, 2.386000732661008, -10.731591448312356, -0.6815663043443759, 9.99689153945356, 7.6714690143574185, 6.2084174803333845, 2.874796750148208, 1.598460497127946, -12.67057102065067, -2.0608537303860355, 1.8261578366539606, -11.244034957402725, -17.517559167898828, 11.288327469434469, 0.5083852660983912, 2.099792807577828, 5.556268227948728, -9.821669504849309, -4.034957940626281, 15.040676045201982, -4.886553966117334, -2.658552954468585, -6.694881650021808, -7.408542264806607, 11.054813523421146]"
Degenerate/Max/min Critical Point,0.0,0.0,0.0,0.80875,"[18.936080344286903, -12.376427261280284, 6.555673984218366, 3.9147672077115385, -10.499106120188058, 2.8880555333235702, 5.30151263183603, 10.245044244477173, -17.75672253501724, 6.480780112135067, 14.099046552689195, 18.87686579008044, -12.260675264464345, -1.4595227263352686, -0.49065528467344777, 6.755187365822854, -1.6462909752818766, -7.15393571239174, 2.171763725848919, -3.37502066157465, 5.621895306852417, -8.095673868458734, -10.223096560479345, 13.154402182249612, 22.725276138044332, 18.22271226723243, -0.7192559294852517, 10.551271715811792, -6.862827822133699, 5.081792890523279, -5.838027669199817, 12.565041179401115, 11.234647179238435, 20.759541110974755, -2.2930508753249894, 15.79033701092001, 5.06465061928088]"
Degenerate/Max/min Critical Point,0.0,0.0,0.0,0.19125,"[5.6430135114190705, -9.291924493536243, -6.979765412447562, 7.844695175240562, 1.7052514739614677, -3.8754351451567075, 4.0891065585279645, -7.501868260821758, 7.3837877551626026, 4.50557907378892, -2.2449913987633914, -1.6226653908719362, -3.4182342849603877, 9.95942022743847, 2.1609184611595547, -2.164868487169737, -9.703109030625619, 5.894915447180944, 5.42755187450238, -5.256424179002047, -4.201569419226049, -1.1701425534857326, -11.536256608904276, 0.7370681890445847, -16.454378382617975, -12.79469437429289, -5.095944051161661, -6.28295087618026, 4.513909263560587, 2.8299738102245993, 13.766240939757456, 0.9284781878620187, 2.0612996823107395, -11.630542682534417, -11.609767256481472, 0.6442667373222067, 0.8171192626021934]"
Saddle Point,-8.97678796590082e-09,0.43699360614358645,0.00094408717,0.6587515737899549,"[-13.015619716188029, 9.828310645473577, -13.904290057898095, 2.0541135414056173, 12.165014065018102, 5.870726763512379, -10.021091046337748, -6.501591553385584, -4.571904817386582, -6.0343783448860755, 15.339301943330957, -19.21013138823256, 6.485319181355597, -12.923033749284512, -9.54009041049562, -20.097333668687174, -5.490544311588659, 15.107316515392135, 2.64824242464778, -11.98361546999097, 10.171377028916151, 12.313042635686857, 1.0405626021903722, 20.3474915815259, 8.194122695860408, 6.826525072925881, -8.055690476501569, 6.273984856213408, 2.329553004566652, 5.0667562457492314, -6.845856191413306, 1.2769828223862771, -8.17688039689432, -21.47132099966032, 9.99114881220349, -15.023889816895172, 1.0708573307703702]"
Saddle Point,-8.539736368137728e-09,0.4461940301276633,0.000993814,0.25437656778041856,"[4.5677077770045935, 6.836677841391677, -0.26007194426557223, 15.52378565808499, -7.949042284979294, 3.282165385545002, -21.255878095599947, -3.9171274911693246, 1.5189850728487087, -3.2107832541515617, -11.052216056368366, -6.9426419788868365, -10.0645588790235, -1.1938070188623857, 7.850990313509648, -3.4675898725786563, 18.08923247301922, 2.2865872733246344, -20.48568578183826, 3.331649059478465, -0.5039617354495802, 13.773939916987516, -0.1697250891448162, -2.5315717535009634, 20.729394312626397, -21.057067428857422, -3.442688839979391, 2.6570529103092557, -3.9938532602654737, -21.008049208090696, 4.040404656698686, -4.579908067150938, -1.362433485919896, 12.58860112291137, 3.044625243623751, -6.200342669721958, 3.9358974946339265]"
Degenerate/Max/min Critical Point,0.0,0.0,0.0,0.80875,"[11.526731827924694, 2.058654335883063, -8.189162257267606, -10.147431922559525, 4.517790899546998, -11.52958327222014, -8.130773379721395, -4.898460038331302, 2.8043211006144775, 5.835207318720798, -7.100170331008595, -12.96708570186106, 8.162628014724895, 6.756187426079024, 4.693898328861845, 3.752755881887358, -3.97280701251242, -1.776101209156868, 0.7584540003641482, -8.429185154143443, 3.834531796349783, 1.192126409746784, -1.3538539023528724, 9.125079578791583, -1.0104672103283079, 6.59626568163297, -11.886839517805004, 8.402097807132323, 6.041774821983296, 21.61817941137746, 16.009036925001595, 9.36354152450869, -5.38773263815779, -8.852572875607954, -7.2500447580947815, 5.09483294160168, 12.94237397528483]"
Degenerate/Max/min Critical Point,0.0,0.0,0.0,0.80875,"[-10.623296815748146, 14.646106844834135, -10.568492542191253, 10.72383160917197, 6.264530828049382, -12.664031581723329, 0.7390517968010426, -13.207442826209041, -3.479014429267968, 2.8015928810919277, -10.14303509818502, -23.47779707670473, -1.277536964618098, 2.1455614284925115, -3.7697548317601774, -0.15389457236177279, -1.7961475341042652, -10.176673797632205, 19.471180163951747, 3.1698755117589323, -4.2582981961310145, -8.247839900402457, -3.975644529564495, -3.6496018260447647, 0.38152944604670896, 11.462062268441471, -8.045698479601015, 1.7772405795397241, 7.996376730107474, -6.7384744723507914, -6.795957669053525, -15.091049097967735, 16.812109395928264, 5.079255532797956, -5.703806475999041, -6.136853668764733, -10.313821650593871]"
Saddle Point,-1.073213541771236e-08,0.5931841193998975,0.000521129,0.29187463288031773,"[18.856973184926833, 10.348089371951726, 12.442292962991637, 15.811953522331606, -1.5710926136869912, -12.178050487833882, -17.836484478398003, 7.392452053997896, -9.664158549314912, 33.26663281186529, -8.422319343186883, -10.147772655654048, 7.777334323614781, 7.9843638699250885, 17.969191439300538, -2.496388126898965, 11.603970182924513, -1.6281567872035252, 5.459071283227537, -2.1328936772891347, 19.145436064199863, 22.66809273054527, -11.898008058943276, 12.776921274008044, -9.318163002610035, 11.60149951940521, 16.40020711950995, -9.625705969104434, -12.239213841642256, -4.951682036869542, 11.68246473514876, 4.758067577663021, -2.482284904740393, 7.210219281782432, -2.9196078525618057, 1.3179533785370456, 5.450053848612236]"
Degenerate/Max/min Critical Point,0.0,0.0,0.0,0.19125,"[-7.566602914350558, 9.790054310398078, 5.539472658685294, 0.33934966568884206, -2.6431092821363054, -16.88443989413334, -2.148790754337206, -3.8762697256079006, -4.211864914220783, 2.8162412227003175, 17.504528451304754, 0.1978536368217758, 5.982977466915743, -0.6068779208057253, -0.6105911870646138, 11.407630100642649, 3.7369296129133844, 7.789503416990358, 12.398526760867261, 3.628939804700049, 2.4456224122253696, 7.3693109201347955, -6.488557375838689, -6.317169514552806, -7.58758891955987, -4.9059602206855715, -11.869072798159221, -16.563976263961106, -8.217960006567363, -23.521828861448068, 2.839021564589002, 0.9875295203796977, 7.411204666136032, -9.325080795962151, 4.989239653963824, -8.08559389737902, 7.741285376314719]"
Saddle Point,-1.7398089304785915e-31,9.759847898811153e-24,3.9211615e-14,0.1912500000000005,"[12.51657771327575, 0.2586651028829931, 13.050815921384162, 0.823704506538375, 0.8654764761797734, 3.2898527890459626, 4.591885228916087, -3.3084046608119304, 3.5026104796704787, -10.49070359590733, -7.99071056833888, -6.711491080756229, 4.697626896341082, 1.6023282755627708, -1.3435957724395307, 6.907699895852868, 3.788620827423358, -2.899767799828719, -10.352308428198121, -8.197088012267528, -14.668094653928918, 1.4056955015082575, -8.621387824536718, -4.9532298198387075, -1.275906806288639, 10.439951913306855, 9.287905983168196, -0.5470847125397434, 12.655034894002991, -20.123485093208608, 18.772205497665126, 6.92499714304585, 1.0280328501992952, -8.91359680752063, -4.380673661304643, 6.093508955780412, 6.320793835314138]"
